SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR447937		TIL25		2	TRUE	30538361	200
SRR447938		TIL25		3	TRUE	25211629	152
SRR447939		TIL25		4	TRUE	17787919	168
SRR447940		BKN010		1	TRUE	28847684	200
SRR447941		BKN010		2	TRUE	27112512	200
SRR447942		BKN009		1	TRUE	29024280	200
SRR447943		BKN009		2	TRUE	28348831	200
SRR447944		TIL04-TIP285		1	TRUE	13799654	168
SRR447945		BKN040		1	TRUE	28389043	200
SRR447946		CML277		1	TRUE	13678506	168
SRR447947		CML277		2	TRUE	17819349	172
SRR447948		MO17		1	TRUE	11667138	152
SRR447949		MO17		2	TRUE	18951564	152
SRR447950		MO17		3	FALSE	18072764	76
SRR447951		BKN023		1	TRUE	27259792	200
SRR447952		BKN023		2	TRUE	29547687	200
SRR447953		CML85		1	TRUE	38888888	180
SRR447954		TIL09		1	TRUE	30894029	152
SRR447955		TIL09		2	TRUE	30828902	152
SRR447956		VL0512447		1	TRUE	38888888	180
SRR447957		B97-1		1	TRUE	20377986	250
SRR447958		B97-1		2	TRUE	17010645	172
SRR447959		B97-1		3	TRUE	18319069	168
SRR447960		TIL07		1	TRUE	27215064	152
SRR447961		TIL07		2	TRUE	24134804	152
SRR447962		TIL04-TIP454		1	TRUE	19977433	160
SRR447963		TIL04-TIP454		2	TRUE	18181358	168
SRR447964		TIL04-TIP454		3	TRUE	18785809	168
SRR447965		OH7B		1	TRUE	16949218	168
SRR447966		OH7B		2	TRUE	21044761	250
SRR447967		CAUMO17		1	TRUE	10000000	150
SRR447968		CAUMO17		2	TRUE	10000000	119
SRR447969		CAUMO17		3	TRUE	8257699	150
SRR447970		CAUMO17		4	TRUE	10000000	150
SRR447971		CAUMO17		5	TRUE	10000000	150
SRR447972		CAUMO17		6	TRUE	10000000	150
SRR447973		CAUMO17		7	TRUE	10000000	150
SRR447974		CAUMO17		8	TRUE	4125812	150
SRR447975		CAUMO17		9	TRUE	10000000	150
SRR447976		CAUMO17		10	TRUE	10000000	150
SRR447977		CAUMO17		11	TRUE	10000000	150
SRR447978		CAUMO17		12	TRUE	10000000	150
SRR447979		CAUMO17		13	TRUE	2429553	150
SRR447980		CML52		1	TRUE	18689902	168
SRR447981		CML52		2	TRUE	33666438	152
SRR447982		BKN020		1	TRUE	28119285	200
SRR447983		BKN020		2	TRUE	29029824	200
SRR447984		B73-1		1	TRUE	17672614	152
SRR447985		B73-1		2	FALSE	17608427	76
SRR447986		B73-1		3	TRUE	11314591	152
SRR447987		CML247		1	TRUE	18757198	172
SRR447988		CML247		2	TRUE	13650243	168
SRR447989		TIL06-TIP496		1	TRUE	19775341	168
SRR447990		TIL06-TIP496		2	TRUE	19332442	168
SRR447991		VL054178		1	TRUE	38888888	180
SRR447992		BKN032		1	TRUE	24255835	200
