SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR4448311		339d05993c01	TSCA_Tickle_Kush	1	TRUE	1243890	150
SRR4448312		2bf0e5ffb062	TSCA_Sweet_Tooth_#1	1	TRUE	1281706	150
SRR4448313		2c9c0a40acc8	TSCA_Larry_OG	1	TRUE	730352	151
SRR4448314		2cb1e714c3fc	TSCA_Highland_Oaxacan	1	TRUE	1598260	150
SRR4448315		2ee9dd154b65	TSCA_Exodus_Kush	1	TRUE	1580561	150
SRR4448316		3348cea155c4	TSCA_WiFi_OG	1	TRUE	1226094	150
SRR4448317		2f9a8828f896	TSCA_Bob's_GDP	1	TRUE	890374	150
SRR4448318		3004f39b7863	TSCA_Chem_91	1	TRUE	4338088	151
SRR4448319		3011692bb7f8	TSCA_Swiss_Gold	1	TRUE	744729	150
SRR4448320		2822a83b47c8	TSCA_ST3	1	TRUE	1563667	150
SRR4448321		28d50bae9645	TSCA_Super_Lemon_Haze	1	TRUE	1701325	150
SRR4448324		51cb2613e51f	TSCA_Ace_of_Spades	1	TRUE	596131	150
SRR4448325		51e9d99d5231	TSCA_Critical_Mass	1	TRUE	2080040	150
SRR4448326		521fd7687a4b	TSCA_Jack_the_Ripper_4	1	TRUE	748744	150
SRR4448327		524d25fc54e8	TSCA_Purple_Afghanistan	1	TRUE	987516	150
SRR4448328		4f26f492b166	TSCA_Darkheart_2	1	TRUE	594817	150
SRR4448329		500d42f42ec1	TSCA_Grand_Daddy_Purple	1	TRUE	3820108	150
SRR4448330		510db7739fb8	TSCA_Purple_Urkle	1	TRUE	523929	150
SRR4448331		51c79d9546e6	TSCA_Conspiracy_Kush	1	TRUE	628713	150
SRR4448332		5261c47b52e7	TSCA_SSH_x_SuperBill_x_SSH	1	TRUE	1124460	150
SRR4448333		52629ecf8480	TSCA_Dogwalker	1	TRUE	3889257	150
SRR4448334		533dbb0ea2ee	TSCA_Cheesequake	1	TRUE	1505583	150
SRR4448335		529f6029a3fd	TSCA_Jelly_Bean	1	TRUE	564608	150
SRR4448336		536f7c3ff8af	TSCA_Kaboom	1	TRUE	742540	150
SRR4448337		534ac866c75d	TSCA_Sour_Kush	1	TRUE	2587903	150
SRR4448338		542f34b6b2c0	TSCA_Blueberry	1	TRUE	505370	150
SRR4448339		53859c4a066f	TSCA_Afghan	1	TRUE	1339409	150
SRR4448340		56508a35aa2d	TSCA_Hawaiian	1	TRUE	1729925	151
SRR4448341		544b8fb5fdd2	TSCA_Maleficent_Conspiracy_Kush_#2	1	TRUE	1648807	150
SRR4448342		58a2e6ac3f18	TSCA_Lemon_Jack	1	TRUE	1705252	150
SRR4448343		5690c54d9c20	TSCA_Strawberry_Cough	1	TRUE	1139405	150
SRR4448344		43b679e9da76	TSCA_Fortune_Cookie	1	TRUE	1061328	150
SRR4448345		44651ae8d695	TSCA_Venice_OG	1	TRUE	1073949	150
SRR4448346		42825d43fa10	TSCA_Lily-1	1	TRUE	1030198	150
SRR4448347		429ae5d73799	TSCA_Blue_Dream	1	TRUE	521006	150
SRR4448348		42b6c560e1b3	TSCA_Durban_Poison	1	TRUE	588036	151
SRR4448349		433f4e1088f1	TSCA_#23	1	TRUE	1412416	150
