sid	passed_filter_reads	low_quality_reads	too_many_N_reads	too_short_reads	too_long_reads
SRR4448778	1818864	73784	116	104	0
SRR4448779	923988	42184	32	804	0
SRR4448780	685228	27702	152	5586	0
SRR4448781	790046	35784	48	406	0
SRR4448782	13434178	764132	5222	2602	0
SRR4448783	1536614	69106	68	94	0
SRR4448784	17805566	670964	4312	414	0
SRR4448785	34932886	2299500	13380	5670	0
SRR4448786	1484948	67484	74	264	0
SRR4448787	22005212	1350336	8648	1914	0
SRR4448788	13389728	874080	5218	1414	0
SRR4448789	16538462	923500	6482	14454	0
SRR4448790	11240110	408480	2716	2846	0
SRR4448791	13510540	788816	5232	10166	0
SRR4448792	1212614	52528	56	2924	0
SRR4448793	17363336	1076032	6868	182	0
SRR4448794	504486	24494	26	692	0
SRR4448795	2446392	108348	144	92	0
SRR4448796	1049644	46740	52	14	0
SRR4448797	38900290	2435936	19424	384	0
SRR4448798	33008076	2199458	16378	3186	0
SRR4448799	2799598	119656	130	126	0
SRR4448800	28567848	1899250	14044	708	0
SRR4448801	38738242	2348630	19490	6446	0
SRR4448802	2228534	84430	500	3692	0
SRR4448803	8797012	354288	2092	5066	0
SRR4448804	12416366	667776	4630	37182	0
SRR4448805	1889434	81544	116	248	0
SRR4448806	5405776	219608	1230	3144	0
SRR4448807	3385346	128840	736	22864	0
SRR4448808	4861796	190442	1128	5976	0
SRR4448809	2117730	69714	512	42230	0
SRR4448810	883160	41584	34	4170	0
SRR4448811	1260698	57918	56	152	0
SRR4448812	1661202	70002	84	42	0
SRR4448813	2463564	112412	128	158	0
SRR4448814	2635932	110524	148	62	0
SRR4448815	772098	33616	44	860	0
SRR4448816	1319344	57138	60	444	0
SRR4448817	1523290	69290	74	368	0
SRR4448818	2162994	107846	116	72	0
SRR4448819	2111808	98756	102	174	0
SRR4448820	2557352	110752	132	74	0
SRR4448821	932438	40014	64	712	0
SRR4448822	2559274	112526	120	16	0
SRR4448823	2066222	89188	96	6	0
SRR4448824	25618274	1481214	12512	12538	0
SRR4448825	4067746	148540	910	2742	0
SRR4448826	5413972	216354	1384	10814	0
SRR4448827	18913882	650306	4266	146	0
SRR4448828	1257402	51898	260	3850	0
SRR4450086	3015016	123782	130	0	0
SRR4450087	3740528	167778	68	0	0
SRR4450088	4771254	208232	194	0	0
SRR4450089	3871592	163210	44	0	0
SRR4450090	6024482	251008	56	0	0
SRR4450091	2862672	124034	88	0	0
SRR4450092	4440198	189978	60	0	0
SRR4450093	2887732	122572	26	0	0
SRR4450094	3215628	148130	38	0	0
SRR4450095	3613462	152418	46	0	0
SRR4450096	3924514	161166	64	0	0
SRR4450097	6939864	309154	96	0	0
SRR4450098	1804144	89618	198	0	0
SRR4450099	6015586	279950	108	0	0
SRR4450100	2194042	98862	34	0	0
SRR4450101	217184	11788	1412	0	0
SRR4450102	659762	33548	766	0	0
SRR4450103	257496	14068	704	0	0
SRR4450104	4924292	224130	136	0	0
SRR4450105	3283266	144244	152	0	0
SRR4450106	3946268	172102	46	0	0
